0 0
0.001 1e-06
0.002 3e-06
0.003 5.99999e-06
0.004 9.99998e-06
0.005 1.5e-05
0.006 2.09999e-05
0.007 2.79999e-05
0.008 3.59998e-05
0.009 4.49997e-05
0.01 5.49995e-05
0.011 6.59993e-05
0.012 7.7999e-05
0.013 9.09986e-05
0.014 0.000104998
0.015 0.000119998
0.016 0.000135997
0.017 0.000152996
0.018 0.000170995
0.019 0.000189994
0.02 0.000209993
0.021 0.000230991
0.022 0.000252989
0.023 0.000275987
0.024 0.000299985
0.025 0.000324982
0.026 0.000350979
0.027 0.000377976
0.028 0.000405973
0.029 0.000434968
0.03 0.000464964
0.031 0.000495959
0.032 0.000527954
0.033 0.000560948
0.034 0.000594941
0.035 0.000629934
0.036 0.000665926
0.037 0.000702918
0.038 0.000740908
0.039 0.000779899
0.04 0.000819888
0.041 0.000860876
0.042 0.000902864
0.043 0.000945851
0.044 0.000989837
0.045 0.00103482
0.046 0.00108081
0.047 0.00112779
0.048 0.00117577
0.049 0.00122475
0.05 0.00127473
0.051 0.00132571
0.052 0.00137768
0.053 0.00143066
0.054 0.00148463
0.055 0.0015396
0.056 0.00159558
0.057 0.00165254
0.058 0.00171051
0.059 0.00176948
0.06 0.00182944
0.061 0.0018904
0.062 0.00195236
0.063 0.00201532
0.064 0.00207928
0.065 0.00214423
0.066 0.00221019
0.067 0.00227714
0.068 0.00234508
0.069 0.00241403
0.07 0.00248397
0.071 0.00255491
0.072 0.00262685
0.073 0.00269978
0.074 0.00277372
0.075 0.00284865
0.076 0.00292457
0.077 0.0030015
0.078 0.00307942
0.079 0.00315834
0.08 0.00323825
0.081 0.00331916
0.082 0.00340107
0.083 0.00348398
0.084 0.00356788
0.085 0.00365277
0.086 0.00373867
0.087 0.00382556
0.088 0.00391344
0.089 0.00400233
0.09 0.00409221
0.091 0.00418308
0.092 0.00427495
0.093 0.00436782
0.094 0.00446168
0.095 0.00455654
0.096 0.00465239
0.097 0.00474924
0.098 0.00484708
0.099 0.00494592
